Título,Link,Snippet,Autores,Data de Publicação,Fonte,Fonte Normalizada,Fonte Agrupada,Similaridade Resumo,Cluster GPT-4o Mini,PCA_GPT_4o_Mini_1,PCA_GPT_4o_Mini_2
Aiatrack: Attention in attention for transformer visual tracking,https://link.springer.com/chapter/10.1007/978-3-031-20047-2_9,"this insight to the attention mechanism for the first time, making  AiA module, we design a  simple yet effective Transformer  of a network backbone, a Transformer architecture, and two","S Gao, C Zhou, C Ma, X Wang, J Yuan",2022,European Conference on …,Outras,Outras,"O título do projeto e o resumo fornecido parecem estar relacionados, mas há algumas desconexões e pontos a serem considerados:

1. **Título do Projeto**: ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)",2,-0.014235059147478935,0.10471652873633316
U-net transformer: Self and cross attention for medical image segmentation,https://link.springer.com/chapter/10.1007/978-3-030-87589-3_28,", which combines a U-shaped architecture for image  Firstly, a self-attention module  leverages global interactions between  Our cross-attention mechanism shares the high-level","O Petit, N Thome, C Rambour, L Themyr",2021,Machine Learning in …,Outras,Outras,"Parece que você forneceu um título de projeto e um resumo que não estão diretamente relacionados. Vamos analisar isso.

**Título do projeto**: ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação""",0,0.06947917045886287,0.032653361558424604
Spatial convolutional self-attention-based transformer module for strawberry disease identification under complex background,https://www.sciencedirect.com/science/article/pii/S0168169923005094,"of an image, attention mechanism has been introduced to  Block Ⅳ have the same network  architecture with that of Block Ⅱ.  map by using the output layer W o . In summary, the SCSA-","G Li, L Jiao, P Chen, K Liu, R Wang, S Dong",2023,… and Electronics in …,Outras,Outras,"Parece que o título do projeto e o resumo apresentado estão relacionados ao tema de atenção na arquitetura Transformers, mas o resumo fornecido é muito fragmentado e incompleto para permitir uma comparação clara e detalhada.

**Título do Projeto:** ""Alterando",0,0.01391738405164869,-0.1052897501030747
Local multi-head channel self-attention for facial expression recognition,https://www.mdpi.com/2078-2489/13/9/419,"multi-Head Channel self-attention, a novel self-attention module  alone spatial self-attention  architecture in which the transformer’ to improve the attention mechanism of the Transformer.","R Pecoraro, V Basile, V Bono",2022,Information,Outras,Outras,"Ao comparar o título do projeto ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação"" com o resumo fornecido, podemos identificar algumas relações e diferenças.

### Similaridades:
1. **Foco na",3,0.19215491429625,0.01655354430061873
Image captioning using transformer-based double attention network,https://www.sciencedirect.com/science/article/pii/S0952197623007297,"problem in transformers, a Masked Self-Attention module is  Therefore, the dropout layer  causes the proposed architecture better  task with a global attention mechanism. The semantic","H Parvin, AR Naghsh-Nilchi, HM Mohammadi",2023,Engineering Applications of …,Outras,Outras,"O título do projeto é ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação"", enquanto o resumo parece abordar um problema específico relacionado ao módulo de Masked Self-Attention em Transformers e como a inclusão",0,-0.007043294294703549,0.1383894911772655
ACTNet: Attention based CNN and Transformer network for respiratory rate estimation,https://www.sciencedirect.com/science/article/pii/S174680942400555X,"spatial attention, so we use a local attention mechanism in  (EDC) module and transformer  encoder architecture. Finally, a  in the Transformer branch, and the linear projection layer is a","H Chen, X Zhang, Z Guo, N Ying, M Yang",2024,… Signal Processing and …,Outras,Outras,"O título do projeto, ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação"", sugere que o foco da pesquisa é na modificação do mecanismo de atenção dentro da arquitetura Transformer através de métodos relacionados à",0,-0.004324266014886545,0.18332652913964878
Weighted feature fusion of dual attention convolutional neural network and transformer encoder module for ocean HABs classification,https://www.sciencedirect.com/science/article/pii/S095741742303381X,the attention mechanism with the convolutional neural network as  architecture leverages a  combination of the Transformer  We apply layer normalization (LN) before each block and use,"GK Wu, J Xu, YD Zhang, BY Wen, BP Zhang",2024,Expert Systems with …,Expert Systems,Expert Systems,"Ao comparar o resumo com o título do projeto, podemos identificar alguns aspectos relevantes:

1. **Título do projeto**: ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação""
   - O título sug",0,0.037781501709745466,-0.019123191334499537
DMFormer: Closing the gap Between CNN and Vision Transformers,https://ieeexplore.ieee.org/abstract/document/10097256/,"a Dynamic Multi-level Attention mechanism (DMA), which  DMA, we extend the architecture  of Swin Transformer [3] and  stem module, which consists of a 7×7 convolution layer with","Z Wei, H Pan, L Li, M Lu, X Niu",2023,ICASSP 2023-2023 …,Outras,Outras,"A comparação entre o título do projeto e o resumo revela algumas conexões e divergências relevantes.

### Título do Projeto:
**""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação.""**

### Res",4,-0.2967259893192429,0.17925577424482
U-shaped transformer with frequency-band aware attention for speech enhancement,https://ieeexplore.ieee.org/abstract/document/10100864/,"to the conventional attention mechanism, the self-attention  attention based UTransformer  with the frequency-band aware attentions. Each block in the overall architecture of the network","Y Li, Y Sun, W Wang, SM Naqvi",2023,IEEE/ACM Transactions on …,IEEE,IEEE,"Ao comparar o título do projeto ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação"" com o resumo fornecido, podemos observar algumas similaridades e diferenças.

1. **Foco no Mecanismo",2,-0.016908370462567913,-0.13930833717783397
Self-attention encoding and pooling for speaker recognition,https://arxiv.org/abs/2008.01077,"[8] for a Transformer architecture and appeared very effective  employ multi-head attention  mechanism in the pooling layer to  This layer is an additive attention based mechanism, which","P Safari, M India, J Hernando",2020,arXiv preprint arXiv:2008.01077,Arxiv,Arxiv,"A comparação entre o título do projeto ""Alterando o mecanismo de atenção na arquitetura Transformers aplicando funções de (pré-)agregação"" e o resumo apresentado indica uma conexão relevante, mas também algumas lacunas.

1. **Título**: O",3,0.27074633886499255,-0.08717252778155041
