Título,Link,Snippet,Autores,Data de Publicação,Fonte,Similaridade com Título,Similaridade com Resumo,Similaridade Média
Focal attention for long-range interactions in vision transformers,https://proceedings.neurips.cc/paper/2021/hash/fc1a36821b02abbd2503fd949bfc9131-Abstract.html,", we present focal attention, a new attention mechanism that  focal attention into a multi-scale  Transformer architecture, we  that is widely applicable to all attention-based neural network","J Yang, C Li, P Zhang, X Dai, B Xiao",2021,Advances in Neural …,0.802406066195008,0.8256337723776119,0.81401991928631
Dual aggregation transformer for image super-resolution,http://openaccess.thecvf.com/content/ICCV2023/html/Chen_Dual_Aggregation_Transformer_for_Image_Super-Resolution_ICCV_2023_paper.html,"self-attention module, we propose the adaptive interaction  in deepening the layer of the  network for better performance.  introducing the architecture of dual aggregation Transformer (","Z Chen, Y Zhang, J Gu, L Kong",2023,Proceedings of the …,0.7972323231018712,0.8298305611282106,0.8135314421150409
Self-attention transformer-based architecture for remaining useful life estimation of complex machines,https://www.sciencedirect.com/science/article/pii/S1877050922023195,• We propose a self-attention based transformer architecture  • We investigate the abstract  feature extraction layer module to  any prior domain knowledge into the attention mechanism.,"A Wahid, M Yahya, JG Breslin, MA Intizar",2023,Procedia Computer Science,0.8023937718911103,0.8228490462040385,0.8126214090475744
An abstractive text summarization technique using transformer model with self-attention mechanism,https://link.springer.com/article/10.1007/s00521-023-08687-7,"transformer architecture with an attention mechanism and a  Feed-forward layer and the  crucial Self-attention layer, which  network and a knowledge-based hierarchical attention module","S Kumar, A Solanki",2023,Neural Computing and Applications,0.7987531065693221,0.8253796219834173,0.8120663642763697
Point transformer v2: Grouped vector attention and partition-based pooling,https://proceedings.neurips.cc/paper_files/paper/2022/hash/d78ece6613953f46501b958b7bb4582f-Abstract-Conference.html,"Transformer [1], and propose several novel architecture designs for the attention and pooling  module,  With grouped vector attention restricting the capacity of the attention mechanism,","X Wu, Y Lao, L Jiang, X Liu",2022,Advances in Neural …,0.8057814369742546,0.8122880768774163,0.8090347569258355
A weakly-supervised transformer-based hybrid network with multi-attention for pavement crack detection,https://www.sciencedirect.com/science/article/pii/S0950061823038527,", a novel architecture integrating Gated Axial Transformer into  attention mechanism  decomposed the self-attention module  MLP layer to process the feature map from Transformer","Z Wang, Z Leng, Z Zhang",2024,Construction and Building Materials,0.8082352155689672,0.8095894180536958,0.8089123168113315
Attention-based interpretability with concept transformers,https://openreview.net/forum?id=kAa9eDS0RdO,"performance gains of deep neural network models in a host of  architecture, plausibility is  achieved by construction by supervising the attention heads of the cross-attention mechanism","M Rigotti, C Miksovic, I Giurgiu, T Gschwind",2021,International …,0.8056541193961623,0.8108860277118924,0.8082700735540274
Surface vision transformers: Attention-based modelling applied to cortical analysis,https://proceedings.mlr.press/v172/dahan22a.html,"architecture is made of L transformer blocks, each composed of a multi-head self-attention  layer  Corticalflow: A diffeomorphic mesh transformer network for cortical surface reconstruction","S Dahan, A Fawaz, LZJ Williams",2022,… on Medical Imaging …,0.7997538153500605,0.8158829702923703,0.8078183928212155
Pay attention to the activations: A modular attention mechanism for fine-grained image recognition,https://ieeexplore.ieee.org/abstract/document/8762109/,"number of attention heads per module. This is implicitly done in the transformer architecture  [ By adding attention layers with AW = 1 after each layer, we obtain increasingly better results","P Rodriguez, D Velazquez, G Cucurull",2019,IEEE Transactions …,0.7999773642256821,0.8141897621188249,0.8070835631722535
TGF: Multiscale transformer graph attention network for multi-sensor image fusion,https://www.sciencedirect.com/science/article/pii/S0957417423022911,"The graph attention mechanism provides additional  IR and VI fusion methods and graph  attention-based low-level vision  network architecture that consists of conv layers, transformer","HT Mustafa, P Shamsolmoali, IH Lee",2024,Expert Systems with Applications,0.790090520678936,0.8239849397770993,0.8070377302280176
